country,2018_life_ladder,2018_log_gdp,2018_social_support,2018_life_expectancy,2018_freedom_to_make_life_choices,2018_generosity,2018_perceived_corruption,2018_positive_affect,2018_negative_affect,2020_life_ladder,2020_log_gdp,2020_social_support,2020_life_expectancy,2020_freedom_to_make_life_choices,2020_generosity,2020_perceived_corruption,2020_positive_affect,2020_negative_affect,2022_life_ladder,2022_log_gdp,2022_social_support,2022_life_expectancy,2022_freedom_to_make_life_choices,2022_generosity,2022_perceived_corruption,2022_positive_affect,2022_negative_affect
Albania,5.004,9.497,0.684,69.075,0.824,0.007,0.899,0.592,0.319,5.365,9.492,0.71,69.125,0.754,0.004,0.891,0.563,0.265,5.212,9.626,0.724,69.175,0.802,-0.066,0.846,0.547,0.255
Argentina,5.793,10.032,0.9,67.05,0.846,-0.214,0.855,0.732,0.321,5.901,9.888,0.897,67.15,0.823,-0.129,0.816,0.679,0.342,6.261,10.011,0.893,67.25,0.825,-0.128,0.81,0.724,0.284
Australia,7.177,10.801,0.94,70.825,0.916,0.143,0.405,0.706,0.187,7.137,10.794,0.937,70.975,0.905,0.203,0.491,0.726,0.205,7.035,10.854,0.942,71.125,0.854,0.153,0.545,0.711,0.244
Austria,7.396,10.919,0.912,70.775,0.904,0.05,0.523,0.695,0.226,7.213,10.859,0.925,71.025,0.912,0.006,0.464,0.716,0.206,6.999,10.939,0.876,71.275,0.856,0.139,0.524,0.718,0.226
Bangladesh,4.499,8.542,0.706,64.175,0.901,-0.056,0.701,0.433,0.361,5.28,8.629,0.739,64.425,0.777,-0.023,0.742,0.485,0.332,3.408,8.743,0.404,64.675,0.865,-0.055,0.617,0.394,0.448
Belgium,6.892,10.842,0.93,70.45,0.808,-0.129,0.63,0.682,0.25,6.839,10.799,0.904,70.75,0.767,-0.17,0.634,0.619,0.26,6.857,10.878,0.923,71.05,0.89,0.097,0.483,0.718,0.235
Benin,5.82,8.02,0.504,55.2,0.713,0.003,0.747,0.625,0.468,4.408,8.067,0.507,55.8,0.783,-0.083,0.532,0.557,0.305,4.217,8.137,0.366,56.4,0.714,-0.03,0.58,0.571,0.444
Bolivia,5.916,9.044,0.827,63.15,0.863,-0.094,0.786,0.705,0.387,5.559,8.946,0.805,63.45,0.877,-0.053,0.868,0.729,0.382,5.929,9.014,0.824,63.75,0.865,-0.08,0.84,0.738,0.426
Brazil,6.191,9.59,0.882,65.225,0.751,-0.12,0.763,0.677,0.35,6.11,9.548,0.831,65.575,0.786,-0.058,0.729,0.653,0.389,6.257,9.611,0.866,65.925,0.83,-0.061,0.742,0.681,0.341
Bulgaria,5.099,10.008,0.924,66.2,0.724,-0.18,0.952,0.554,0.189,5.598,10.021,0.916,66.4,0.818,-0.01,0.901,0.642,0.221,5.378,10.138,0.953,66.6,0.741,-0.145,0.942,0.582,0.165
Cambodia,5.122,8.347,0.795,61.3,0.958,0.032,,0.723,0.414,4.377,8.361,0.724,61.7,0.963,0.05,0.863,0.771,0.39,4.25,8.415,0.784,62.1,0.946,0.154,0.86,0.756,0.388
Cameroon,5.251,8.225,0.677,53.825,0.816,0.031,0.884,0.63,0.356,5.241,8.207,0.72,55.175,0.675,0.045,0.837,0.626,0.386,4.712,8.227,0.629,56.525,0.675,0.025,0.849,0.586,0.362
Canada,7.175,10.799,0.923,71.25,0.946,0.102,0.372,0.773,0.259,7.025,10.738,0.931,71.35,0.887,0.045,0.434,0.738,0.307,6.918,10.803,0.929,71.45,0.838,0.222,0.442,0.719,0.287
Chile,6.436,10.13,0.89,69.85,0.789,-0.066,0.816,0.755,0.276,6.151,10.044,0.888,70.15,0.781,0.028,0.812,0.753,0.336,6.415,10.154,0.887,70.45,0.793,-0.011,0.796,0.775,0.253
Colombia,5.984,9.577,0.871,68.825,0.851,-0.152,0.855,0.775,0.301,5.709,9.502,0.797,69.175,0.84,-0.088,0.808,0.759,0.34,5.892,9.66,0.877,69.525,0.799,-0.162,0.863,0.762,0.306
Congo (Brazzaville),5.49,8.239,0.621,55.875,0.699,-0.102,0.738,0.571,0.448,5.079,8.127,0.597,56.525,0.761,-0.021,0.728,0.572,0.435,5.805,8.077,0.646,57.175,0.698,0.028,0.76,0.583,0.477
Costa Rica,7.141,9.928,0.876,70,0.942,-0.114,0.781,0.802,0.326,6.338,9.895,0.834,70,0.889,-0.136,0.772,0.759,0.35,7.077,9.998,0.902,70,0.91,-0.047,0.751,0.793,0.272
Croatia,5.536,10.248,0.91,68.425,0.691,-0.156,0.925,0.512,0.29,6.508,10.202,0.923,68.775,0.837,-0.069,0.961,0.681,0.286,5.579,10.458,0.91,69.125,0.593,-0.213,0.875,0.573,0.267
Cyprus,6.276,10.599,0.826,72.2,0.794,-0.029,0.848,0.663,0.298,6.26,10.583,0.806,72.6,0.763,-0.084,0.816,0.671,0.284,5.865,,0.82,73,0.698,,0.887,0.659,0.297
Czechia,7.034,10.595,0.929,68.675,0.79,-0.297,0.851,0.674,0.178,6.897,10.562,0.964,68.925,0.906,-0.133,0.884,0.748,0.29,6.695,10.656,0.944,69.175,0.908,0.094,0.831,0.743,0.246
Denmark,7.649,10.936,0.958,70.875,0.935,0.013,0.151,0.773,0.206,7.515,10.924,0.947,71.125,0.938,0.047,0.214,0.753,0.227,7.545,10.994,0.97,71.375,0.93,0.224,0.203,0.787,0.205
Dominican Republic,5.433,9.769,0.862,63.8,0.867,-0.153,0.762,0.719,0.291,5.168,9.727,0.806,64.2,0.835,-0.126,0.636,0.724,0.314,5.518,9.874,0.82,64.6,0.853,-0.084,0.656,0.723,0.306
Ecuador,6.128,9.359,0.851,68.25,0.869,-0.103,0.831,0.817,0.328,5.354,9.245,0.804,68.75,0.829,-0.16,0.855,0.755,0.416,5.887,9.29,0.825,69.25,0.759,-0.08,0.866,0.777,0.356
Egypt,4.005,9.286,0.759,62.75,0.682,-0.215,,0.407,0.285,4.472,9.34,0.673,63.25,0.77,-0.112,,0.543,0.442,4.024,9.404,0.769,63.75,0.733,-0.208,,0.486,0.307
El Salvador,6.241,9.084,0.82,64.55,0.863,-0.1,0.801,0.817,0.27,5.462,9.02,0.696,65.25,0.924,-0.129,0.583,0.811,0.329,6.492,9.135,0.772,65.95,0.914,-0.112,0.621,0.823,0.296
Estonia,6.091,10.463,0.933,68.975,0.886,-0.145,0.621,0.73,0.163,6.453,10.488,0.958,69.425,0.954,-0.088,0.398,0.762,0.188,6.357,10.571,0.933,69.875,0.904,0.136,0.39,0.767,0.187
Ethiopia,4.379,7.634,0.74,59.5,0.74,0.039,0.799,0.562,0.272,4.549,7.72,0.823,60.3,0.769,0.186,0.784,0.615,0.252,3.628,7.757,0.74,61.1,0.674,0.361,0.793,0.56,0.335
Finland,7.858,10.78,0.962,70.925,0.938,-0.131,0.199,0.749,0.182,7.889,10.767,0.962,71.075,0.962,-0.121,0.164,0.748,0.193,7.729,10.814,0.974,71.225,0.959,0.102,0.19,0.741,0.191
France,6.666,10.72,0.921,72,0.816,-0.142,0.582,0.705,0.282,6.714,10.651,0.947,72.2,0.823,-0.174,0.565,0.69,0.231,6.614,10.737,0.866,72.4,0.798,-0.025,0.533,0.688,0.249
Gabon,4.783,9.565,0.785,57.275,0.719,-0.198,0.823,0.614,0.418,4.887,9.54,0.701,57.925,0.528,-0.192,0.789,0.568,0.416,5.14,9.539,0.775,58.575,0.699,-0.164,0.803,0.661,0.414
Georgia,4.659,9.565,0.617,64.575,0.775,-0.236,0.755,0.479,0.244,5.123,9.544,0.718,64.825,0.764,-0.223,0.583,0.573,0.295,5.293,9.746,0.754,65.075,0.821,-0.253,0.655,0.503,0.233
Germany,7.118,10.886,0.92,70.7,0.877,0.03,0.496,0.74,0.243,7.312,10.856,0.905,71.1,0.864,-0.066,0.424,0.698,0.206,6.608,10.899,0.916,71.5,0.895,0.081,0.417,0.668,0.201
Ghana,5.004,8.542,0.761,57.625,0.817,0.061,0.846,0.716,0.25,5.319,8.569,0.643,58.375,0.824,0.199,0.847,0.675,0.253,4.191,8.615,0.628,59.125,0.786,0.117,0.909,0.62,0.292
Greece,5.409,10.28,0.794,70.775,0.564,-0.338,0.86,0.564,0.255,5.788,10.207,0.779,71.025,0.565,-0.244,0.764,0.629,0.322,5.9,10.364,0.875,71.275,0.563,-0.316,0.874,0.589,0.183
Guinea,5.252,7.813,0.63,52.85,0.731,0.091,0.778,0.727,0.44,4.972,7.865,0.732,53.75,0.598,0.078,0.79,0.706,0.346,5.317,7.9,0.582,54.65,0.729,0.139,0.77,0.699,0.492
Hungary,5.936,10.346,0.941,67.05,0.693,-0.247,0.911,0.595,0.201,6.038,10.349,0.943,67.35,0.771,-0.125,0.836,0.662,0.24,5.861,10.484,0.937,67.65,0.776,-0.008,0.848,0.628,0.25
India,3.818,8.77,0.638,60,0.89,0.083,0.805,0.591,0.357,4.224,8.718,0.616,60.6,0.906,0.071,0.78,0.686,0.383,3.93,8.85,0.608,61.2,0.893,0.09,0.771,0.596,0.432
Indonesia,5.34,9.341,0.809,62.675,0.879,0.509,0.868,0.796,0.296,4.828,9.351,0.751,62.925,0.853,0.532,0.914,0.742,0.351,5.585,9.425,0.834,63.175,0.903,0.519,0.862,0.818,0.269
Iran,4.278,9.591,0.674,66.15,0.603,0.075,0.703,0.482,0.493,4.865,9.577,0.757,66.45,0.6,0.133,0.71,0.505,0.47,4.977,9.638,0.8,66.75,0.57,0.212,0.766,0.521,0.466
Ireland,6.962,11.331,0.938,71,0.861,0.14,0.362,0.754,0.213,7.035,11.42,0.96,71.2,0.882,0.002,0.356,0.753,0.246,6.87,11.625,0.906,71.4,0.895,0.14,0.358,0.738,0.234
Israel,6.927,10.595,0.91,72.25,0.725,0.05,0.77,0.612,0.282,7.195,10.58,0.959,72.55,0.831,-0.057,0.748,0.564,0.243,7.662,10.692,0.954,72.85,0.775,-0.005,0.655,0.583,0.183
Italy,6.517,10.647,0.913,71.825,0.65,-0.025,0.888,0.598,0.403,6.488,10.573,0.89,71.975,0.718,-0.155,0.844,0.614,0.311,6.258,10.685,0.869,72.125,0.711,0.028,0.819,0.624,0.298
Ivory Coast,5.268,8.507,0.621,54.225,0.713,-0.051,0.791,0.659,0.386,5.257,8.537,0.613,55.375,0.77,0.015,0.777,0.655,0.34,4.849,8.612,0.536,56.525,0.713,-0.005,0.743,0.629,0.399
