"","country","life_ladder_2018","log_gdp_2018","social_support_2018","life_expectancy_2018","freedom_to_make_life_choices_2018","generosity_2018","perceived_corruption_2018","positive_affect_2018","negative_affect_2018","life_ladder_2020","log_gdp_2020","social_support_2020","life_expectancy_2020","freedom_to_make_life_choices_2020","generosity_2020","perceived_corruption_2020","positive_affect_2020","negative_affect_2020","life_ladder_2022","log_gdp_2022","social_support_2022","life_expectancy_2022","freedom_to_make_life_choices_2022","generosity_2022","perceived_corruption_2022","positive_affect_2022","negative_affect_2022"
"1","Albania",5.004,9.497,0.684,69.075,0.824,0.007,0.899,5.92,3.19,5.365,9.492,0.71,69.125,0.754,0.004,0.891,5.63,2.65,5.212,9.626,0.724,69.175,0.802,-0.066,0.846,5.47,2.55
"2","Argentina",5.793,10.032,0.9,67.05,0.846,-0.214,0.855,7.32,3.21,5.901,9.888,0.897,67.15,0.823,-0.129,0.816,6.79,3.42,6.261,10.011,0.893,67.25,0.825,-0.128,0.81,7.24,2.84
"3","Australia",7.177,10.801,0.94,70.825,0.916,0.143,0.405,7.06,1.87,7.137,10.794,0.937,70.975,0.905,0.203,0.491,7.26,2.05,7.035,10.854,0.942,71.125,0.854,0.153,0.545,7.11,2.44
"4","Austria",7.396,10.919,0.912,70.775,0.904,0.05,0.523,6.95,2.26,7.213,10.859,0.925,71.025,0.912,0.006,0.464,7.16,2.06,6.999,10.939,0.876,71.275,0.856,0.139,0.524,7.18,2.26
"5","Bangladesh",4.499,8.542,0.706,64.175,0.901,-0.056,0.701,4.33,3.61,5.28,8.629,0.739,64.425,0.777,-0.023,0.742,4.85,3.32,3.408,8.743,0.404,64.675,0.865,-0.055,0.617,3.94,4.48
"6","Belgium",6.892,10.842,0.93,70.45,0.808,-0.129,0.63,6.82,2.5,6.839,10.799,0.904,70.75,0.767,-0.17,0.634,6.19,2.6,6.857,10.878,0.923,71.05,0.89,0.097,0.483,7.18,2.35
"7","Benin",5.82,8.02,0.504,55.2,0.713,0.003,0.747,6.25,4.68,4.408,8.067,0.507,55.8,0.783,-0.083,0.532,5.57,3.05,4.217,8.137,0.366,56.4,0.714,-0.03,0.58,5.71,4.44
"8","Bolivia",5.916,9.044,0.827,63.15,0.863,-0.094,0.786,7.05,3.87,5.559,8.946,0.805,63.45,0.877,-0.053,0.868,7.29,3.82,5.929,9.014,0.824,63.75,0.865,-0.08,0.84,7.38,4.26
"9","Brazil",6.191,9.59,0.882,65.225,0.751,-0.12,0.763,6.77,3.5,6.11,9.548,0.831,65.575,0.786,-0.058,0.729,6.53,3.89,6.257,9.611,0.866,65.925,0.83,-0.061,0.742,6.81,3.41
"10","Bulgaria",5.099,10.008,0.924,66.2,0.724,-0.18,0.952,5.54,1.89,5.598,10.021,0.916,66.4,0.818,-0.01,0.901,6.42,2.21,5.378,10.138,0.953,66.6,0.741,-0.145,0.942,5.82,1.65
