"","beverage_category","beverage","beverage_prep","calories","total_fat_g","trans_fat_g","saturated_fat_g","sodium_mg","total_carbohydrates_g","cholesterol_mg","dietary_fibre_g","sugars_g","protein_g","vitamin_a_dv","vitamin_c_dv","calcium_dv","iron_dv","caffeine_mg"
"1","Coffee","Brewed Coffee","Short",3,"0.1",0,0,0,5,0,0,0,0.3,"0%","0%","0%","0%","175"
"2","Coffee","Brewed Coffee","Tall",4,"0.1",0,0,0,10,0,0,0,0.5,"0%","0%","0%","0%","260"
"3","Coffee","Brewed Coffee","Grande",5,"0.1",0,0,0,10,0,0,0,1,"0%","0%","0%","0%","330"
"4","Coffee","Brewed Coffee","Venti",5,"0.1",0,0,0,10,0,0,0,1,"0%","0%","2%","0%","410"
"5","Classic Espresso Drinks","Caffè Latte","Short Nonfat Milk",70,"0.1",0.1,0,5,75,10,0,9,6,"10%","0%","20%","0%","75"
"6","Classic Espresso Drinks","Caffè Latte","2% Milk",100,"3.5",2,0.1,15,85,10,0,9,6,"10%","0%","20%","0%","75"
"7","Classic Espresso Drinks","Caffè Latte","Soymilk",70,"2.5",0.4,0,0,65,6,1,4,5,"6%","0%","20%","8%","75"
"8","Classic Espresso Drinks","Caffè Latte","Tall Nonfat Milk",100,"0.2",0.2,0,5,120,15,0,14,10,"15%","0%","30%","0%","75"
"9","Classic Espresso Drinks","Caffè Latte","2% Milk",150,"6",3,0.2,25,135,15,0,14,10,"15%","0%","30%","0%","75"
"10","Classic Espresso Drinks","Caffè Latte","Soymilk",110,"4.5",0.5,0,0,105,10,1,6,8,"10%","0%","30%","15%","75"
"11","Classic Espresso Drinks","Caffè Latte","Grande Nonfat Milk",130,"0.3",0.2,0,5,150,19,0,18,13,"20%","0%","40%","0%","150"
"12","Classic Espresso Drinks","Caffè Latte","2% Milk",190,"7",3.5,0.2,30,170,19,0,17,12,"20%","2%","40%","0%","150"
"13","Classic Espresso Drinks","Caffè Latte","Soymilk",150,"5",0.5,0,0,130,13,1,8,10,"15%","0%","40%","15%","150"
"14","Classic Espresso Drinks","Caffè Latte","Venti Nonfat Milk",170,"0.4",0.3,0,10,190,25,0,23,16,"30%","0%","50%","0%","150"
"15","Classic Espresso Drinks","Caffè Latte","2% Milk",240,"9",4.5,0.3,35,220,24,0,22,16,"25%","2%","50%","0%","150"
"16","Classic Espresso Drinks","Caffè Latte","Soymilk",190,"7",1,0,0,170,16,2,11,13,"20%","0%","50%","25%","150"
